arc_length;U_1;U_1;U_1
0.114;0.111811;0.374083;1.21024
0.1143;0.1178;0.391165;1.2537
0.1146;0.123674;0.407658;1.29477
0.1149;0.129431;0.423578;1.33359
0.1152;0.135073;0.438942;1.3703
0.1155;0.1406;0.453771;1.40506
0.1158;0.146013;0.468087;1.43798
0.1161;0.151285;0.481784;1.46879
0.1164;0.156443;0.49499;1.49798
0.1167;0.161492;0.507743;1.52571
0.117;0.166435;0.520068;1.55211
0.1173;0.171267;0.531945;1.57714
0.1176;0.175962;0.543291;1.6006
0.1179;0.180561;0.554274;1.62303
0.1182;0.185069;0.564917;1.6445
0.1185;0.189457;0.575121;1.66477
0.1188;0.193733;0.584923;1.68397
0.1191;0.197929;0.594445;1.70244
0.1194;0.202024;0.603619;1.72
0.1197;0.206;0.612389;1.73656
0.12;0.209908;0.62093;1.75254
0.1203;0.213715;0.629137;1.76769
0.1206;0.217416;0.637003;1.782
0.1209;0.22106;0.644687;1.79586
0.1212;0.224581;0.651975;1.80875
0.1215;0.228032;0.659047;1.82107
0.1218;0.231412;0.66589;1.8328
0.1221;0.23468;0.672417;1.84384
0.1224;0.23791;0.678822;1.85452
0.1227;0.241028;0.684722;1.86317
0.123;0.244096;0.690621;1.87243
0.1233;0.247061;0.696521;1.88301
0.1236;0.250432;0.703799;1.89921
0.1239;0.254227;0.712514;1.92128
0.1242;0.257198;0.718939;1.93634
0.1245;0.259757;0.72422;1.94788
0.1248;0.262317;0.729501;1.95943
0.1251;0.264882;0.734634;1.97006
0.1254;0.267459;0.739474;1.97888
0.1257;0.270037;0.744314;1.98769
0.126;0.272614;0.749154;1.9965
0.1263;0.275103;0.754053;2.00674
0.1266;0.277593;0.758952;2.01697
0.1269;0.280082;0.763852;2.02721
0.1272;0.282472;0.768498;2.03694
0.1275;0.284813;0.773017;2.04642
0.1278;0.287154;0.777537;2.0559
0.1281;0.289455;0.781972;2.06521
0.1284;0.291679;0.786239;2.07418
0.1287;0.293903;0.790505;2.08314
0.129;0.296127;0.794772;2.09211
0.1293;0.29824;0.798799;2.10064
0.1296;0.300352;0.802826;2.10916
0.1299;0.302465;0.806853;2.11769
0.1302;0.304509;0.810731;2.12593
0.1305;0.306518;0.814534;2.13402
0.1308;0.308527;0.818337;2.14211
0.1311;0.310505;0.822072;2.15007
0.1314;0.312418;0.82567;2.15775
0.1317;0.314332;0.829268;2.16543
0.132;0.316245;0.832866;2.17311
0.1323;0.31807;0.836276;2.18041
0.1326;0.319894;0.839686;2.18772
0.1329;0.321719;0.843097;2.19502
0.1332;0.323488;0.846392;2.20209
0.1335;0.32523;0.849631;2.20904
0.1338;0.326973;0.852869;2.216
0.1341;0.328689;0.856056;2.22285
0.1344;0.330355;0.859138;2.22948
0.1347;0.332021;0.862221;2.23612
0.135;0.333687;0.865303;2.24276
0.1353;0.335282;0.868243;2.24911
0.1356;0.336877;0.871184;2.25545
0.1359;0.338472;0.874124;2.2618
0.1362;0.340024;0.876978;2.26797
0.1365;0.341553;0.879788;2.27405
0.1368;0.343083;0.882599;2.28013
0.1371;0.344592;0.88537;2.28613
0.1374;0.346061;0.888063;2.29197
0.1377;0.34753;0.890755;2.29781
0.138;0.348998;0.893447;2.30365
0.1383;0.35041;0.896032;2.30927
0.1386;0.351822;0.898617;2.31488
0.1389;0.353234;0.901202;2.3205
0.1392;0.354611;0.903721;2.32598
0.1395;0.35597;0.906207;2.33139
0.1398;0.357329;0.908693;2.3368
0.1401;0.358671;0.91115;2.34215
0.1404;0.359981;0.913546;2.34737
0.1407;0.36129;0.915942;2.3526
0.141;0.362599;0.918339;2.35782
0.1413;0.363862;0.920652;2.36287
0.1416;0.365125;0.922966;2.36792
0.1419;0.366388;0.92528;2.37297
0.1422;0.367622;0.927543;2.37791
0.1425;0.368842;0.929781;2.3828
0.1428;0.370061;0.932019;2.38769
0.1431;0.371267;0.934233;2.39253
0.1434;0.372445;0.936402;2.39727
0.1437;0.373623;0.93857;2.40201
0.144;0.374802;0.940738;2.40675
0.1443;0.375941;0.942843;2.41135
0.1446;0.377081;0.944947;2.41595
0.1449;0.37822;0.947051;2.42055
0.1452;0.379336;0.949116;2.42507
0.1455;0.380438;0.951161;2.42954
0.1458;0.381541;0.953207;2.43401
0.1461;0.382633;0.955234;2.43845
0.1464;0.383701;0.957224;2.4428
0.1467;0.384769;0.959215;2.44715
0.147;0.385837;0.961205;2.45151
0.1473;0.386872;0.963146;2.45575
0.1476;0.387907;0.965086;2.45999
0.1479;0.388942;0.967026;2.46423
0.1482;0.389955;0.968934;2.4684
0.1485;0.390959;0.970828;2.47254
0.1488;0.391962;0.972721;2.47668
0.1491;0.392956;0.9746;2.48078
0.1494;0.393929;0.97645;2.48481
0.1497;0.394902;0.9783;2.48885
0.15;0.395875;0.98015;2.49289
0.1503;0.396819;0.981959;2.49683
0.1506;0.397763;0.983769;2.50078
0.1509;0.398707;0.985578;2.50472
0.1512;0.399633;0.987363;2.50861
0.1515;0.400549;0.989135;2.51247
0.1518;0.401465;0.990907;2.51633
0.1521;0.402372;0.992667;2.52016
0.1524;0.403261;0.994404;2.52393
0.1527;0.404151;0.99614;2.52771
0.153;0.40504;0.997877;2.53148
0.1533;0.405903;0.999582;2.53518
0.1536;0.406767;1.00129;2.53888
0.1539;0.40763;1.00299;2.54257
0.1542;0.408476;1.00467;2.54622
0.1545;0.409314;1.00635;2.54985
0.1548;0.410152;1.00802;2.55347
0.1551;0.410982;1.00969;2.55707
0.1554;0.411795;1.01133;2.56063
0.1557;0.412609;1.01297;2.56418
0.156;0.413422;1.01462;2.56774
0.1563;0.414212;1.01624;2.57123
0.1566;0.415001;1.01785;2.57472
0.1569;0.41579;1.01947;2.5782
0.1572;0.416564;1.02107;2.58165
0.1575;0.41733;1.02267;2.58508
0.1578;0.418096;1.02426;2.5885
0.1581;0.418854;1.02585;2.59191
0.1584;0.419597;1.02741;2.59527
0.1587;0.42034;1.02898;2.59864
0.159;0.421083;1.03055;2.602
0.1593;0.421803;1.0321;2.60531
0.1596;0.422523;1.03365;2.60862
0.1599;0.423243;1.03519;2.61193
0.1602;0.423949;1.03672;2.6152
0.1605;0.424647;1.03825;2.61846
0.1608;0.425344;1.03977;2.62171
0.1611;0.426035;1.04129;2.62495
0.1614;0.426711;1.04279;2.62815
0.1617;0.427387;1.0443;2.63135
0.162;0.428063;1.0458;2.63456
